Species,GarciaPenaMLog,GarciaPenaFLog,GarciaPenaAveLog,IwaniukArnoldLog,IwaniukNelsonLog,IwaniukDeanNelsonLog,SayolLog,CorfieldLog
Amblycercus_holosericeus,NA,NA,NA,NA,0.792992516,NA,0.795,NA
Amblyornis_macgregoriae,NA,NA,NA,1.2753628,1.2753628,NA,1.274,NA
Amblyramphus_holosericeus,NA,NA,NA,NA,0.845868268,NA,0.844,NA
Amphispiza_bilineata,NA,NA,NA,NA,-0.385662481,NA,-0.38,NA
Anas_acuta,NA,NA,NA,NA,1.5518088,NA,1.565,NA
Anas_americana,NA,NA,NA,NA,1.398716881,NA,1.374,NA
Anas_castanea,NA,NA,NA,NA,1.316408234,NA,1.288,NA
Anas_clypeata,NA,NA,NA,NA,1.269760545,NA,1.194,NA
Anas_crecca,NA,NA,NA,NA,NA,NA,0.966,NA
Anas_discors,NA,NA,NA,NA,1.075002423,NA,1.044,NA
Anas_eatoni,NA,NA,NA,NA,NA,NA,1.224,NA
Anas_flavirostris,NA,NA,NA,NA,1.269760545,NA,1.27,NA
Anas_gracilis,NA,NA,NA,NA,1.25846099,NA,1.259,NA
Anas_laysanensis,NA,NA,NA,NA,1.266947603,NA,1.241,NA
Anas_platalea,NA,NA,NA,NA,1.252762968,NA,1.253,NA
Anas_platyrhynchos,NA,NA,NA,NA,1.693779061,NA,1.694,NA
Anas_rhynchotis,NA,NA,NA,NA,1.264126727,NA,1.253,NA
Anas_smithii,NA,NA,NA,NA,1.327075001,NA,1.327,NA
Anas_strepera,NA,NA,NA,NA,1.360976553,NA,1.361,NA
Anas_superciliosa,NA,NA,NA,NA,1.673351238,NA,1.688,NA
Anas_versicolor,NA,NA,NA,NA,NA,NA,1.288,NA
Anas_wyvilliana,NA,NA,NA,NA,1.512927012,NA,1.522,NA
Andigena_hypoglauca,NA,NA,NA,NA,NA,NA,1.649,1.609437912
Andigena_lamnirostris,NA,NA,NA,NA,NA,NA,NA,1.470175845
Anhinga_melanogaster,NA,NA,NA,NA,1.517322624,NA,1.501,NA
Anodorhynchus_hyacinthus,NA,NA,NA,NA,3.208017082,3.208017082,NA,NA
Anous_minutus,0.405465108,0.412109651,0.40878738,NA,NA,NA,NA,NA
Anous_stolidus,0.792992516,0.806475866,0.799734191,NA,0.802001585,NA,NA,NA
Anser_albifrons,NA,NA,NA,NA,2.207174908,NA,2.208,NA
Anser_fabalis,NA,NA,NA,NA,2.365559892,NA,2.366,NA
Anthochaera_carunculata,NA,NA,NA,0.78845736,0.78845736,NA,0.805,NA
Anthochaera_chrysoptera,NA,NA,NA,0.530628251,0.530628251,NA,0.633,NA
Anthracothorax_dominicus,NA,NA,NA,NA,-1.46967597,NA,-1.523,NA
Anthreptes_malacensis,NA,NA,NA,NA,-0.544727175,NA,-0.54,NA
Anthus_novaeseelandiae,NA,NA,NA,NA,-0.174353387,NA,-0.169,NA
Anthus_trivialis,NA,NA,NA,NA,-0.510825624,NA,-0.507,NA
Anumbius_annumbi,NA,NA,NA,NA,0.165514438,NA,0.235,NA
Aphelocephala_leucopsis,NA,NA,NA,-0.616186139,-0.616186139,NA,-0.673,NA
Aphelocephala_nigricincta,NA,NA,NA,NA,-0.755022584,NA,-0.755,NA
Aphelocoma_coerulescens,NA,NA,NA,1.047318994,1.047318994,NA,1.044,NA
Aphelocoma_ultramarina,NA,NA,NA,1.283707772,1.283707772,NA,1.298,NA
Aphrastura_spinicauda,NA,NA,NA,NA,-0.210721031,NA,-0.226,NA
Aprosmictus_erythropterus,NA,NA,NA,NA,1.348073148,1.348073148,1.209,NA
Aptenodytes_forsteri,NA,NA,NA,NA,3.832763324,NA,NA,NA
Aptenodytes_patagonicus,NA,NA,NA,NA,3.328626689,NA,NA,NA
Apus_apus,NA,NA,NA,NA,-0.400477567,NA,-0.304,NA
Aquila_audax,NA,NA,NA,NA,2.787477335,NA,2.725,NA
Aquila_chrysaetos,NA,NA,NA,NA,2.844327819,NA,2.844,NA
Ara_ambigua,NA,NA,NA,NA,NA,2.862200881,NA,NA
Ara_ararauna,NA,NA,NA,NA,2.894806355,2.894806355,NA,NA
Ara_chloroptera,NA,NA,NA,NA,3.038791763,3.038791763,NA,NA
