Species,GarciaPenaMLog,GarciaPenaFLog,GarciaPenaAveLog,IwaniukArnoldLog,IwaniukNelsonLog,IwaniukDeanNelsonLog,SayolLog,CorfieldLog
Chen_caerulescens,NA,NA,NA,NA,NA,NA,2.359,NA
Chen_rossii,NA,NA,NA,NA,NA,NA,1.887,NA
Chenonetta_jubata,NA,NA,NA,NA,1.406096988,NA,1.414,NA
Cheramoeca_leucosterna,NA,NA,NA,NA,NA,NA,-0.821,NA
Chersomanes_albofasciata,NA,NA,NA,NA,-0.061875404,NA,0.01,NA
Chionis_alba,1.406096988,1.350667183,1.378382086,NA,1.378766095,NA,1.435,NA
Chionis_minor,NA,1.223775432,1.223775432,NA,NA,NA,1.224,NA
Chiroxiphia_linearis,NA,NA,NA,NA,-0.385662481,NA,-0.382,NA
Chlamydera_maculata,NA,NA,NA,NA,NA,NA,1.374,NA
Chlamydera_nuchalis,NA,NA,NA,1.611435915,1.611435915,NA,1.649,NA
Chlidonias_hybridus,0.405465108,0.371563556,0.388514332,NA,0.392042088,NA,0.422,NA
Chloephaga_hybrida,NA,NA,NA,NA,2.029463172,NA,2.007,NA
Chloephaga_poliocephala,NA,NA,NA,NA,NA,NA,1.758,NA
Chloroceryle_amazona,NA,NA,NA,NA,0.667829373,NA,0.655,NA
Chloroceryle_americana,NA,NA,NA,NA,-0.083381609,NA,-0.013,NA
Chlorophonia_cyanea,NA,NA,NA,NA,-0.494296322,NA,-0.511,NA
Chloropsis_palawanensis,NA,NA,NA,NA,0.048790164,NA,0.049,NA
Chlorospingus_ophthalmicus,NA,NA,NA,NA,-0.020202707,NA,-0.013,NA
Chlorospingus_pileatus,NA,NA,NA,NA,NA,NA,0.104,NA
Chlorostilbon_ricordii,NA,NA,NA,NA,-2.040220829,NA,-2.058,NA
Chordeiles_minor,NA,NA,NA,NA,-0.162518929,NA,-0.163,NA
Chrysococcyx_basalis,NA,NA,NA,NA,-0.478035801,NA,-0.519,NA
Chrysococcyx_lucidus,NA,NA,NA,NA,-0.371063681,NA,-0.362,NA
Chrysococcyx_minutillus,NA,NA,NA,NA,NA,NA,-0.545,NA
Chrysococcyx_osculans,NA,NA,NA,NA,NA,NA,-0.315,NA
Chrysocolaptes_lucidus,NA,NA,NA,NA,NA,NA,1.526,1.601405741
Chrysolophus_pictus,NA,NA,NA,NA,1.199964783,NA,1.224,NA
Chthonicola_sagittatus,NA,NA,NA,NA,NA,NA,-0.511,NA
Cicinnurus_regius,NA,NA,NA,0.553885113,0.553885113,NA,0.608,NA
Cinclidium_leucurum,NA,NA,NA,NA,-0.116533816,NA,-0.151,NA
Cinclodes_fuscus,NA,NA,NA,NA,-0.127833372,NA,-0.128,NA
Cinclodes_patagonicus,NA,NA,NA,NA,0.21511138,NA,0.214,NA
Cincloramphus_cruralis,NA,NA,NA,NA,0.113328685,NA,0.186,NA
Cinclosoma_punctatum,NA,NA,NA,NA,NA,NA,0.726,NA
Circus_aeruginosus,NA,NA,NA,NA,NA,NA,1.668,NA
Circus_cyaneus,NA,NA,NA,NA,1.564440547,NA,1.519,NA
Cissa_chinensis,NA,NA,NA,NA,1.238374231,NA,NA,NA
Cisticola_exilis,NA,NA,NA,NA,-0.94160854,NA,-0.942,NA
Cisticola_fulvicapilla,NA,NA,NA,NA,-0.673344553,NA,-0.678,NA
Cladorhynchus_leucocephalus,0.518793793,0.438254931,0.478524362,NA,0.476234179,NA,0.486,NA
Clangula_hyemalis,NA,NA,NA,NA,1.58514522,NA,NA,NA
Claravis_pretiosa,NA,NA,NA,NA,-0.105360516,NA,-0.1,NA
Climacteris_melanurus,NA,NA,NA,NA,NA,NA,-0.186,NA
Climacteris_picumnus,NA,NA,NA,0,0,NA,0.02,NA
Climacteris_rufus,NA,NA,NA,NA,NA,NA,0.025,NA
Clytorhynchus_pachycephaloides,NA,NA,NA,NA,NA,NA,0.049,NA
Coccothraustes_vespertinus,NA,NA,NA,NA,0.530628251,NA,0.528,NA
Coccyzus_americanus,NA,NA,NA,NA,0.157003749,NA,0.14,NA
Coccyzus_erythropthalmus,NA,NA,NA,NA,0.009950331,NA,0.036,NA
Coccyzus_vetula,NA,NA,NA,NA,NA,NA,0.696,NA
Coereba_flaveola,NA,NA,NA,NA,-0.820980552,NA,-0.815,NA
Colaptes_auratus,NA,NA,NA,NA,1.118414916,NA,1.118,1.118414916
Colius_striatus,NA,NA,NA,NA,0.131028262,NA,0.049,NA
Collocalia_esculenta,NA,NA,NA,NA,-1.609437912,NA,-1.701,NA
Collocalia_spodiopygia,NA,NA,NA,NA,-1.427116356,NA,-1.419,NA
Colluricincla_harmonica,NA,NA,NA,0.693147181,0.693147181,NA,0.738,NA
Colluricincla_megarhyncha,NA,NA,NA,NA,0.292669614,NA,0.291,NA
Colonia_colonus,NA,NA,NA,NA,-0.755022584,NA,-0.713,NA
Columba_arquatrix,NA,NA,NA,NA,NA,NA,0.875,NA
Columba_guinea,NA,NA,NA,NA,NA,NA,0.693,NA
Columba_leucomela,NA,NA,NA,NA,0.828551818,NA,0.822,NA
Columba_vitiensis,NA,NA,NA,NA,NA,NA,0.803,NA
Columbina_inca,NA,NA,NA,NA,NA,NA,-0.294,NA
Columbina_minuta,NA,NA,NA,NA,NA,NA,-0.566,NA
Columbina_passerina,NA,NA,NA,NA,-0.446287103,NA,-0.463,NA
Columbina_picui,NA,NA,NA,NA,NA,NA,-0.284,NA
Columbina_talpacoti,NA,NA,NA,NA,-0.328504067,NA,-0.298,NA
Conopophaga_lineata,NA,NA,NA,NA,-0.356674944,NA,-0.357,NA
Conopophila_albogularis,NA,NA,NA,NA,NA,NA,-0.58,NA
Contopus_latirostris,NA,NA,NA,NA,-0.967584026,NA,-0.959,NA
Copsychus_saularis,NA,NA,NA,NA,0.09531018,NA,0.037,NA
Coracias_garrulus,NA,NA,NA,NA,0.841567186,NA,0.765,NA
Coracina_caledonica,NA,NA,NA,NA,1.095273387,NA,1.115,NA
Coracina_maxima,NA,NA,NA,NA,NA,NA,0.788,NA
Coracina_novaehollandiae,NA,NA,NA,0.875468737,0.875468737,NA,0.862,NA
Coracina_tenuirostris,NA,NA,NA,NA,NA,NA,0.539,NA
Coracopsis_nigra,NA,NA,NA,NA,NA,1.713797928,NA,NA
Coragyps_atratus,NA,NA,NA,NA,2.484072969,NA,2.431,NA
Corcorax_melanorhamphos,NA,NA,NA,1.648658626,1.648658626,NA,1.639,NA
Cormobates_leucophaea,NA,NA,NA,NA,NA,NA,-0.192,NA
Corvus_albus,NA,NA,NA,NA,2.1690537,NA,2.268,NA
Corvus_bennetti,NA,NA,NA,1.86252854,1.86252854,NA,2.022,NA
Corvus_brachyrhynchos,NA,NA,NA,1.969905655,1.969905655,NA,1.97,NA
Corvus_caurinus,NA,NA,NA,2.005525859,2.005525859,NA,2.005,NA
Corvus_corax,NA,NA,NA,2.670694415,2.670694415,NA,2.671,NA
Corvus_corone,NA,NA,NA,2.141241943,2.141241943,NA,2.092,NA
Corvus_coronoides,NA,NA,NA,2.285438934,2.285438934,NA,2.282,NA
Corvus_cryptoleucus,NA,NA,NA,2.191653532,2.191653532,NA,2.257,NA
Corvus_dauuricus,NA,NA,NA,NA,1.558144618,NA,1.548,NA
Corvus_frugilegus,NA,NA,NA,2.029463172,2.029463172,NA,2.023,NA
Corvus_mellori,NA,NA,NA,2.140066163,2.140066163,NA,2.14,NA
Corvus_monedula,NA,NA,NA,1.638996715,1.638996715,NA,1.629,NA
Corvus_moneduloides,NA,NA,NA,NA,1.978239036,NA,1.978,NA
Corvus_orru,NA,NA,NA,2.187174241,2.187174241,NA,2.196,NA
Corvus_ossifragus,NA,NA,NA,1.790091412,1.790091412,NA,1.808,NA
Coryphistera_alaudina,NA,NA,NA,NA,-0.061875404,NA,-0.062,NA
Coryphospingus_cucullatus,NA,NA,NA,NA,-0.400477567,NA,-0.412,NA
Corythaixoides_concolor,NA,NA,NA,NA,NA,NA,1.308,NA
Cossypha_caffra,NA,NA,NA,NA,0.019802627,NA,0.033,NA
Coturnicops_noveboracensis,NA,NA,NA,NA,-0.301105093,NA,-0.223,NA
Coturnix_chinensis,NA,NA,NA,NA,NA,NA,-0.528,NA
Coturnix_coturnix,NA,NA,NA,NA,-0.061875404,NA,-0.151,NA
Coturnix_pectoralis,NA,NA,NA,NA,-0.040821995,NA,-0.062,NA
Cracticus_nigrogularis,NA,NA,NA,1.105256831,1.105256831,NA,1.22,NA
Cracticus_quoyi,NA,NA,NA,NA,NA,NA,1.267,NA
Cracticus_torquatus,NA,NA,NA,1.022450928,1.022450928,NA,1.039,NA
Crateroscelis_nigrorufa,NA,NA,NA,NA,NA,NA,-0.223,NA
Crex_crex,NA,NA,NA,NA,0.322083499,NA,0.272,NA
Crotophaga_ani,NA,NA,NA,NA,0.444685821,NA,0.47,NA
Cuculus_canorus,NA,NA,NA,NA,0.451075619,NA,0.438,NA
Cuculus_pallidus,NA,NA,NA,NA,0.357674444,NA,0.397,NA
Cuculus_saturatus,NA,NA,NA,NA,0.457424847,NA,0.434,NA
Culicicapa_helianthea,NA,NA,NA,NA,-1.171182982,NA,-1.163,NA
Cursorius_cursor,0.322083499,0.405465108,0.363774304,NA,0.364643114,NA,NA,NA
Cyanerpes_cyaneus,NA,NA,NA,NA,-0.597837001,NA,-0.523,NA
Cyanocitta_cristata,NA,NA,NA,1.071583616,1.071583616,NA,1.072,NA
Cyanocitta_stelleri,NA,NA,NA,1.264126727,1.264126727,NA,1.194,NA
Cyanocorax_affinis,NA,NA,NA,NA,NA,NA,1.508,NA
Cyanoliseus_patagonus,NA,NA,NA,NA,NA,4.38489751,NA,NA
Cyanopsitta_spixii,NA,NA,NA,NA,NA,1.981001469,NA,NA
Cyanoramphus_auriceps,NA,NA,NA,NA,1.022450928,1.022450928,0.896,NA
Cyanoramphus_novaezelandiae,NA,NA,NA,NA,NA,0.810930216,0.811,NA
Cyanoramphus_unicolor,NA,NA,NA,NA,1.393766376,1.393766376,1.393,NA
Cyclarhis_gujanensis,NA,NA,NA,NA,0.231111721,NA,0.223,NA
Cyclopsitta_diophthalma,NA,NA,NA,NA,NA,0.530628251,0.531,NA
Cyclopsitta_gulielmitertii,NA,NA,NA,NA,NA,0.425267735,0.422,NA
Cyclorhynchus_psittacula,0.936093359,0.936093359,0.936093359,NA,NA,NA,NA,NA
Cygnus_atratus,NA,NA,NA,NA,2.49732917,NA,2.519,NA
Cygnus_buccinator,NA,NA,NA,NA,3.010128154,NA,3.01,NA
Cygnus_columbianus,NA,NA,NA,NA,2.853592506,NA,2.854,NA
Cygnus_cygnus,NA,NA,NA,NA,2.970414466,NA,2.918,NA
Cymbilaimus_lineatus,NA,NA,NA,NA,0.198850859,NA,0.189,NA
Cyornis_rubeculoides,NA,NA,NA,NA,NA,NA,-0.575,NA
Cyphorhinus_arada,NA,NA,NA,NA,-0.094310679,NA,-0.142,NA
Cyrtonyx_montezumae,NA,NA,NA,NA,0.378436436,NA,0.336,NA
Dacelo_leachii,NA,NA,NA,NA,1.442201993,NA,1.483,NA
Dacelo_novaeguineae,NA,NA,NA,NA,1.460937904,NA,1.419,NA
Daphoenositta_chrysoptera,NA,NA,NA,NA,NA,NA,-0.616,NA
Dasyornis_brachypterus,NA,NA,NA,NA,NA,NA,0.372,NA
Dasyornis_broadbenti,NA,NA,NA,0.631271777,0.631271777,NA,0.629,NA
Dendragapus_canadensis,NA,NA,NA,NA,0.891998039,NA,0.89,NA
Dendragapus_obscurus,NA,NA,NA,NA,1.121677562,NA,1.163,NA
Dendrocincla_fuliginosa,NA,NA,NA,NA,0.058268908,NA,0.076,NA
Dendrocolaptes_certhia,NA,NA,NA,NA,0.553885113,NA,0.574,NA
Dendrocopos_major,NA,NA,NA,NA,NA,NA,NA,1.015955055
Dendrocopos_medius,NA,NA,NA,NA,NA,NA,NA,0.730924545
Dendrocygna_arcuata,NA,NA,NA,NA,1.506297154,NA,1.553,NA
Dendrocygna_eytoni,NA,NA,NA,NA,1.517322624,NA,1.517,NA
Dendroica_caerulescens,NA,NA,NA,NA,-0.84397007,NA,-0.864,NA
Dendroica_coronata,NA,NA,NA,NA,-0.673344553,NA,NA,NA
Dendroica_petechia,NA,NA,NA,NA,-0.653926467,NA,-0.653,NA
Dendropicos_fuscescens,NA,NA,NA,NA,0.198850859,NA,NA,0.198850859
Dendroplex_picus,NA,NA,NA,NA,NA,NA,0.233,NA
Deroptyus_accipitrinus,NA,NA,NA,NA,2.046401688,2.046401688,2.104,NA
Dicaeum_aeruginosum,NA,NA,NA,NA,-0.693147181,NA,-0.703,NA
Dicaeum_hirundinaceum,NA,NA,NA,NA,-0.994252273,NA,-1.022,NA
Dinopium_javanense,NA,NA,NA,NA,0.982078472,NA,1.099,0.982078472
Diomedea_chrysostoma,NA,NA,NA,NA,2.952302716,NA,NA,NA
Diomedea_exulans,NA,NA,NA,NA,3.341093458,NA,NA,NA
Diopsittaca_nobilis,NA,NA,NA,NA,1.764730797,1.764730797,NA,NA
Dromaius_novaehollandiae,NA,NA,NA,NA,3.363149314,NA,NA,NA
Drymodes_brunneopygia,NA,NA,NA,-0.051293294,-0.051293294,NA,-0.015,NA
Dryocopus_lineatus,NA,NA,NA,NA,NA,NA,NA,1.458615023
Dryocopus_martius,NA,NA,NA,NA,NA,NA,NA,2.041220329
Dryocopus_pileatus,NA,NA,NA,NA,1.916922612,NA,1.882,1.916922612
Dryoscopus_cubla,NA,NA,NA,NA,0.122217633,NA,0.201,NA
Ducula_aenea,NA,NA,NA,NA,1.118414916,NA,1.224,NA
Ducula_bicolor,NA,NA,NA,NA,1.115141591,NA,1.056,NA
Ducula_goliath,NA,NA,NA,NA,NA,NA,1.216,NA
Ducula_melanochroa,NA,NA,NA,NA,NA,NA,1.335,NA
Ducula_pacifica,NA,NA,NA,NA,NA,NA,0.875,NA
Dulus_dominicus,NA,NA,NA,NA,0.2390169,NA,0.24,NA
Dumetella_carolinensis,NA,NA,NA,NA,0.131028262,NA,0.107,NA
Dysithamnus_mentalis,NA,NA,NA,NA,NA,NA,-0.35,NA
Eclectus_roratus,NA,NA,NA,NA,1.996059933,1.996059933,1.881,NA
Egretta_novaehollandiae,NA,NA,NA,NA,1.363537374,NA,1.361,NA
Elaenia_frantzii,NA,NA,NA,NA,-0.494296322,NA,-0.503,NA
Elaenia_martinica,NA,NA,NA,NA,-0.430782916,NA,-0.427,NA
Elanus_axillaris,NA,NA,NA,NA,1.214912744,NA,1.226,NA
Elseyornis_melanops,-0.162518929,-0.198450939,-0.180484934,NA,-0.174353387,NA,NA,NA
Empidonax_minimus,NA,NA,NA,NA,-0.994252273,NA,-0.961,NA
Enicognathus_ferrugineus,NA,NA,NA,NA,NA,1.671473303,1.668,NA
Enicurus_scouleri,NA,NA,NA,NA,-0.274436846,NA,-0.288,NA
Entomyzon_cyanotis,NA,NA,NA,0.802001585,0.802001585,NA,0.875,NA
Eopsaltria_australis,NA,NA,NA,-0.15082289,-0.15082289,NA,-0.071,NA
Eopsaltria_georgiana,NA,NA,NA,-0.287682072,-0.287682072,NA,-0.292,NA
Eopsaltria_griseogularis,NA,NA,NA,-0.186329578,-0.186329578,NA,-0.192,NA
Eos_bornea,NA,NA,NA,NA,1.564440547,1.564440547,NA,NA
Eos_cyanogenia,NA,NA,NA,NA,1.578978705,1.578978705,NA,NA
Eos_squamata,NA,NA,NA,NA,1.342864803,1.342864803,NA,NA
Epinecrophylla_fulviventris,NA,NA,NA,NA,NA,NA,-0.729,NA
Epthianura_aurifrons,NA,NA,NA,-0.84397007,-0.84397007,NA,-0.892,NA
Epthianura_tricolor,NA,NA,NA,-0.820980552,-0.820980552,NA,-0.968,NA
Eremophila_alpestris,NA,NA,NA,NA,-0.116533816,NA,-0.174,NA
Erithacus_rubecula,NA,NA,NA,NA,-0.446287103,NA,NA,NA
Erythrogonys_cinctus,NA,NA,NA,NA,NA,NA,0.049,NA
Erythropygia_coryphaeus,NA,NA,NA,NA,NA,NA,-0.329,NA
Erythrura_gouldiae,NA,NA,NA,NA,-0.634878272,NA,-0.693,NA
Erythrura_trichroa,NA,NA,NA,NA,-0.544727175,NA,-0.511,NA
Esacus_giganteus,NA,NA,NA,NA,NA,NA,1.707,NA
Estrilda_melpoda,NA,NA,NA,NA,-0.967584026,NA,-0.904,NA
Eubucco_bourcierii,NA,NA,NA,NA,NA,NA,NA,0.060153923
Eudynamys_scolopaceus,NA,NA,NA,NA,0.90016135,NA,0.93,NA
Eudynamys_taitensis,NA,NA,NA,NA,0.693147181,NA,0.642,NA
Eulampis_holosericeus,NA,NA,NA,NA,NA,NA,-1.429,NA
Eulampis_jugularis,NA,NA,NA,NA,-1.139434283,NA,-1.136,NA
Euneornis_campestris,NA,NA,NA,NA,-0.356674944,NA,-0.361,NA
Eunymphicus_cornutus,NA,NA,NA,NA,1.202972304,1.202972304,NA,NA
Eunymphicus_uvaeensis,NA,NA,NA,NA,NA,NA,1.099,NA
Euphagus_carolinus,NA,NA,NA,NA,0.412109651,NA,0.412,NA
Euphagus_cyanocephalus,NA,NA,NA,NA,0.364643114,NA,0.374,NA
Euphonia_jamaica,NA,NA,NA,NA,-0.430782916,NA,-0.447,NA
Eurostopodus_argus,NA,NA,NA,NA,NA,NA,-0.02,NA
Eurostopodus_macrotis,NA,NA,NA,NA,0.378436436,NA,0.372,NA
Eurostopodus_mystacalis,NA,NA,NA,NA,NA,NA,0.223,NA
Falco_berigora,NA,NA,NA,NA,1.830980182,NA,1.859,NA
Falco_cenchroides,NA,NA,NA,NA,1.1442228,NA,1.147,NA
Falco_columbarius,NA,NA,NA,NA,1.128171091,NA,1.127,NA
Falco_eleonorae,NA,NA,NA,NA,1.396244692,NA,1.342,NA
Falco_longipennis,NA,NA,NA,NA,1.208960346,NA,1.209,NA
Falco_mexicanus,NA,NA,NA,NA,1.925707442,NA,1.926,NA
Falco_naumanni,NA,NA,NA,NA,0.996948635,NA,1.002,NA
Falco_peregrinus,NA,NA,NA,NA,1.822935087,NA,1.829,NA
Falco_sparverius,NA,NA,NA,NA,0.91228271,NA,0.913,NA
Falco_subbuteo,NA,NA,NA,NA,1.278152203,NA,1.224,NA
Falco_subniger,NA,NA,NA,NA,1.871802177,NA,1.869,NA
Falco_tinnunculus,NA,NA,NA,NA,1.353254507,NA,1.393,NA
Falco_vespertinus,NA,NA,NA,NA,0.993251773,NA,0.993,NA
Falcunculus_frontatus,NA,NA,NA,0.21511138,0.21511138,NA,0.172,NA
Ficedula_albicollis,NA,NA,NA,NA,-0.798507696,NA,-0.78,NA
Formicarius_analis,NA,NA,NA,NA,0.262364264,NA,0.3,NA
Formicarius_colma,NA,NA,NA,NA,0.076961041,NA,0.077,NA
Forpus_coelestis,NA,NA,NA,NA,0.292669614,0.292669614,NA,NA
Forpus_conspicillatus,NA,NA,NA,NA,NA,0.182321557,NA,NA
Forpus_cyanopygius,NA,NA,NA,NA,NA,0.246860078,NA,NA
Forpus_passerinus,NA,NA,NA,NA,0.09531018,0.09531018,0.049,NA
Foudia_madagascariensis,NA,NA,NA,NA,-0.287682072,NA,-0.18,NA
Francolinus_sephaena,NA,NA,NA,NA,0.810930216,NA,0.811,NA
Fratercula_arctica,1.435084525,1.388791241,1.411937883,NA,1.398716881,NA,NA,NA
Fratercula_cirrhata,1.795087259,1.757857918,1.776472589,NA,NA,NA,NA,NA
Fratercula_corniculata,1.635105659,1.656321498,1.645713579,NA,1.646733697,NA,NA,NA
Fringilla_coelebs,NA,NA,NA,NA,-0.210721031,NA,-0.301,NA
Fulica_atra,NA,NA,NA,NA,1.047318994,NA,1.036,NA
Furnarius_rufus,NA,NA,NA,NA,0.285178942,NA,0.311,NA
Galbula_albirostris,NA,NA,NA,NA,-0.494296322,NA,-0.494,NA
Galerida_cristata,NA,NA,NA,NA,0.157003749,NA,0.122,NA
Gallicolumba_beccarii,NA,NA,NA,NA,NA,NA,0.049,NA
Gallicrex_cinerea,NA,NA,NA,NA,0.940007258,NA,NA,NA
Gallinago_gallinago,0.329303747,0.463734016,0.396518882,NA,0.343589704,NA,0.367,NA
Gallinago_hardwickii,0.693147181,0.641853886,0.667500534,NA,0.688134639,NA,0.693,NA
Gallinago_media,0.587786665,0.587786665,0.587786665,NA,NA,NA,NA,NA
Gallinago_nobilis,0.693147181,0.779324877,0.736236029,NA,NA,NA,0.788,NA
Gallinago_stenura,0.438254931,0.371563556,0.404909244,NA,NA,NA,NA,NA
Gallinago_undulata,1.08180517,1.040276712,1.061040941,NA,NA,NA,1.06,NA
Gallinula_chloropus,NA,NA,NA,NA,0.875468737,NA,NA,NA
Gallinula_melanops,NA,NA,NA,NA,0.418710335,NA,0.531,NA
Gallinula_tenebrosa,NA,NA,NA,NA,0.996948635,NA,1.002,NA
Gallinula_ventralis,NA,NA,NA,NA,1.01884732,NA,0.96,NA
Gallirallus_australis,NA,NA,NA,NA,1.631199404,NA,1.599,NA
Gallirallus_owstoni,NA,NA,NA,NA,NA,NA,0.766,NA
Gallirallus_philippensis,NA,NA,NA,NA,NA,NA,0.685,NA
Gavia_immer,NA,NA,NA,NA,2.312535424,NA,2.313,NA
Gavia_stellata,NA,NA,NA,NA,1.711994501,NA,1.775,NA
Geococcyx_californianus,NA,NA,NA,NA,1.249901736,NA,1.267,NA
Geoffroyus_geoffroyi,NA,NA,NA,NA,1.44926916,1.44926916,1.308,NA
Geopelia_cuneata,NA,NA,NA,NA,-0.248461359,NA,-0.454,NA
Geopelia_humeralis,NA,NA,NA,NA,0.231111721,NA,0.281,NA
Geopelia_striata,NA,NA,NA,NA,NA,NA,-0.241,NA
Geophaps_plumifera,NA,NA,NA,NA,0.165514438,NA,0.179,NA
Geophaps_smithii,NA,NA,NA,NA,0.329303747,NA,0.372,NA
Geositta_cunicularia,NA,NA,NA,NA,NA,NA,0.02,NA
Geothlypis_trichas,NA,NA,NA,NA,-0.653926467,NA,-0.528,NA
Geotrygon_chrysia,NA,NA,NA,NA,NA,NA,0.3,NA
Geotrygon_costaricensis,NA,NA,NA,NA,NA,NA,0.642,NA
Geotrygon_montana,NA,NA,NA,NA,0.131028262,NA,0.135,NA
Gerygone_flavolateralis,NA,NA,NA,NA,-1.078809661,NA,-1.075,NA
Gerygone_hypoxantha,NA,NA,NA,NA,NA,NA,-0.879,NA
Glareola_nuchalis,-0.15082289,-0.186329578,-0.168576234,NA,-0.162518929,NA,NA,NA
Glaucidium_gnoma,NA,NA,NA,NA,NA,NA,1.281,NA
Glaucis_hirsutus,NA,NA,NA,NA,NA,NA,-1.379,NA
Glossopsitta_concinna,NA,NA,NA,NA,1.05431203,1.05431203,1.096,NA
Glossopsitta_porphyrocephala,NA,NA,NA,NA,0.636576829,0.636576829,0.578,NA
Glossopsitta_pusilla,NA,NA,NA,NA,0.463734016,0.463734016,0.462,NA
Glyphorynchus_spirurus,NA,NA,NA,NA,-0.478035801,NA,-0.485,NA
Gracula_religiosa,NA,NA,NA,NA,1.302912752,NA,NA,NA
Grallaria_quitensis,NA,NA,NA,NA,0.717839793,NA,0.777,NA
Grallina_bruijni,NA,NA,NA,NA,NA,NA,0,NA
Grallina_cyanoleuca,NA,NA,NA,0.518793793,0.518793793,NA,0.615,NA
Grantiella_picta,NA,NA,NA,NA,NA,NA,-0.357,NA
Graydidasculus_brachyurus,NA,NA,NA,NA,NA,1.667706821,NA,NA
Grus_antigone,NA,NA,NA,NA,2.998727783,NA,3.008,NA
Grus_canadensis,NA,NA,NA,NA,2.69597762,NA,2.695,NA
Grus_virgo,NA,NA,NA,NA,NA,NA,2.342,NA
Guaruba_guarouba,NA,NA,NA,NA,2.012232792,2.012232792,2.012,NA
Guira_guira,NA,NA,NA,NA,0.652325186,NA,0.681,NA
Gygis_alba,0.722705983,0.587786665,0.655246324,NA,0.657520003,NA,NA,NA
Gymnobucco_calvus,NA,NA,NA,NA,NA,NA,NA,0.223143551
Gymnocichla_nudiceps,NA,NA,NA,NA,NA,NA,0.058,NA
Gymnophaps_albertisii,NA,NA,NA,NA,0.741937345,NA,0.742,NA
Gymnorhina_tibicen,NA,NA,NA,1.53686722,1.53686722,NA,1.619,NA
Gymnorhinus_cyanocephalus,NA,NA,NA,1.255616037,NA,NA,1.253,NA
Habia_fuscicauda,NA,NA,NA,NA,0.292669614,NA,0.289,NA
Haematopus_ater,1.648658626,1.62924054,1.638949583,NA,NA,NA,1.639,NA
Haematopus_bachmani,1.519513205,1.499623046,1.509568126,NA,1.508511994,NA,1.495,NA
Haematopus_leucopodus,1.504077397,1.526056303,1.51506685,NA,NA,NA,1.515,NA
Haematopus_longirostris,1.446918983,NA,1.446918983,NA,NA,NA,1.459,NA
Haematopus_ostralegus,1.515127233,1.501852702,1.508489968,NA,NA,NA,1.47,NA
Halcyon_chloris,NA,NA,NA,NA,0.292669614,NA,NA,NA
Halcyon_smyrnensis,NA,NA,NA,NA,NA,NA,0.581,NA
Haliaeetus_leucocephalus,NA,NA,NA,NA,2.892591515,NA,2.886,NA
Haliaeetus_leucogaster,NA,NA,NA,NA,2.536074936,NA,2.575,NA
Haliastur_indus,NA,NA,NA,NA,1.808288771,NA,1.877,NA
Halobaena_caerulea,NA,NA,NA,NA,1.01884732,NA,NA,NA
Harpactes_ardens,NA,NA,NA,NA,0.570979547,NA,0.718,NA
Harpactes_erythrocephalus,NA,NA,NA,NA,NA,NA,0.602,NA
Harpagus_bidentatus,NA,NA,NA,NA,1.342864803,NA,1.322,NA
Helmitheros_vermivorum,NA,NA,NA,NA,NA,NA,-0.538,NA
Hemiphaga_novaeseelandiae,NA,NA,NA,NA,1.088561953,NA,1.047,NA
Hemithraupis_guira,NA,NA,NA,NA,-0.562118918,NA,-0.63,NA
Hemitriccus_margaritaceiventer,NA,NA,NA,NA,NA,NA,-0.799,NA
Henicophaps_albifrons,NA,NA,NA,NA,NA,NA,0.742,NA
Henicorhina_leucosticta,NA,NA,NA,NA,-0.248461359,NA,-0.242,NA
Herpetotheres_cachinnans,NA,NA,NA,NA,1.87946505,NA,1.96,NA
Heteromyias_albispecularis,NA,NA,NA,NA,NA,NA,0.049,NA
Heteroscelus_brevipes,NA,NA,NA,NA,NA,NA,0.279,NA
Heteroscelus_incanus,NA,NA,NA,NA,NA,NA,0.256,NA
Hieraaetus_morphnoides,NA,NA,NA,NA,2.055404964,NA,2.122,NA
Himantopus_himantopus,0.693147181,0.587786665,0.640466923,NA,NA,NA,NA,NA
Hippolais_icterina,NA,NA,NA,NA,-0.755022584,NA,NA,NA
Hirundapus_caudacutus,NA,NA,NA,NA,0.254642218,NA,0.256,NA
Hirundo_ariel,NA,NA,NA,NA,-1.021651248,NA,-0.968,NA
Hirundo_neoxena,NA,NA,NA,NA,-0.733969175,NA,-0.75,NA
Hirundo_rustica,NA,NA,NA,NA,-0.597837001,NA,-0.598,NA
Histrionicus_histrionicus,NA,NA,NA,NA,1.581038438,NA,1.582,NA
Hydrophasianus_chirurgus,0.322083499,0.350656872,0.336370186,NA,0.336472237,NA,NA,NA
Hylacola_pyrrhopygia,NA,NA,NA,NA,NA,NA,0.03,NA
Hylocichla_mustelina,NA,NA,NA,NA,NA,NA,0.243,NA
Hylophylax_naevius,NA,NA,NA,NA,NA,NA,-0.543,NA
Hymenops_perspicillatus,NA,NA,NA,NA,NA,NA,-0.281,NA
Hypocnemis_cantator,NA,NA,NA,NA,-0.46203546,NA,-0.515,NA
Hypothymis_azurea,NA,NA,NA,NA,-0.653926467,NA,-0.673,NA
Icterus_galbula,NA,NA,NA,NA,0.122217633,NA,0.109,NA
Icterus_spurius,NA,NA,NA,NA,-0.15082289,NA,-0.142,NA
Ifrita_kowaldi,NA,NA,NA,NA,NA,NA,0.223,NA
Indicator_conirostris,NA,NA,NA,NA,NA,NA,NA,-0.693147181
