"scientific_name","social"
"Penelope barbata",0
"Penelope ortoni",0
"Penelope montagnii",0
"Penelope marail",0
"Penelope superciliaris",0
"Penelope dabbenei",0
"Penelope purpurascens",0
"Penelope perspicax",1
"Penelope albipennis",1
"Penelope jacquacu",0
"Penelope obscura",1
"Penelope bridgesi",0
"Penelope jacucaca",1
"Pipile pipile",0
"Pipile cumanensis",1
"Pipile grayi",1
"Pipile cujubi",1
"Pipile jacutinga",0
"Aburria aburri",0
"Chamaepetes unicolor",0
"Chamaepetes goudotii",0
"Penelopina nigra",1
"Nothocrax urumutum",1
"Mitu tomentosum",0
"Mitu salvini",1
"Mitu tuberosum",0
"Mitu mitu",1
"Pauxi pauxi",0
"Pauxi unicornis",0
"Pauxi koepckeae",0
"Crax rubra",1
"Crax daubentoni",1
"Crax alector",0
"Crax globulosa",1
"Crax fasciolata",0
"Crax blumenbachii",0
"Agelastes meleagrides",1
"Agelastes niger",0
"Numida meleagris",1
"Guttera plumifera",1
"Guttera verreauxi",1
"Guttera pucherani",1
"Guttera edouardi",1
"Acryllium vulturinum",1
"Ptilopachus petrosus",1
"Ptilopachus nahani",0
"Dendrortyx leucophrys",0
"Dendrortyx macroura",0
"Dendrortyx barbatus",0
"Oreortyx pictus",1
"Callipepla squamata",1
"Callipepla douglasii",1
"Callipepla californica",1
"Callipepla gambelii",1
"Philortyx fasciatus",1
"Colinus virginianus",1
"Colinus nigrogularis",1
"Colinus leucopogon",0
"Colinus cristatus",1
"Odontophorus gujanensis",0
"Odontophorus capueira",0
"Odontophorus melanotis",1
"Odontophorus erythrops",0
"Odontophorus atrifrons",0
"Odontophorus hyperythrus",0
"Odontophorus melanonotus",0
"Odontophorus dialeucos",0
"Odontophorus strophium",0
"Odontophorus columbianus",0
"Odontophorus leucolaemus",0
"Odontophorus stellatus",1
"Odontophorus guttatus",1
"Dactylortyx thoracicus",0
"Cyrtonyx montezumae",0
"Cyrtonyx sallei",1
"Cyrtonyx ocellatus",0
"Rhynchortyx cinctus",0
"Xenoperdix udzungwensis",0
"Caloperdix oculeus",0
"Rollulus rouloul",0
"Melanoperdix niger",0
"Arborophila torqueola",1
"Arborophila rufogularis",0
"Arborophila rubrirostris",0
"Arborophila cambodiana",0
"Arborophila ardens",0
"Arborophila crudigularis",0
"Arborophila atrogularis",0
"Arborophila brunneopectus",1
"Arborophila hyperythra",0
"Arborophila campbelli",0
"Arborophila javanica",0
"Lerwa lerwa",0
"Ithaginis cruentus",1
"Tragopan melanocephalus",0
"Tragopan blythii",1
"Tragopan caboti",1
"Tetraophasis obscurus",1
"Tetraophasis szechenyii",0
"Lophophorus sclateri",0
"Lophophorus lhuysii",0
"Pucrasia macrolopha",1
"Meleagris gallopavo",1
"Meleagris ocellata",1
"Bonasa umbellus",1
"Tetrastes bonasia",1
"Centrocercus urophasianus",1
"Centrocercus minimus",1
"Dendragapus obscurus",1
"Dendragapus fuliginosus",1
"Tympanuchus phasianellus",1
"Tympanuchus cupido",1
"Tympanuchus pallidicinctus",1
"Lagopus leucura",1
"Lagopus lagopus",1
"Lagopus muta",1
"Falcipennis falcipennis",1
"Canachites canadensis",1
"Canachites franklinii",1
"Tetrao urogallus",1
"Tetrao urogalloides",1
"Lyrurus tetrix",1
"Lyrurus mlokosiewiczi",0
"Perdix hodgsoniae",0
"Perdix perdix",1
"Perdix dauurica",1
"Syrmaticus soemmerringii",0
"Syrmaticus reevesii",0
"Syrmaticus mikado",0
"Syrmaticus ellioti",0
"Syrmaticus humiae",0
"Chrysolophus pictus",1
"Chrysolophus amherstiae",1
"Phasianus colchicus",1
"Phasianus versicolor",1
"Catreus wallichii",0
"Crossoptilon harmani",0
"Crossoptilon crossoptilon",0
"Crossoptilon mantchuricum",0
"Crossoptilon auritum",0
"Lophura swinhoii",1
"Lophura leucomelanos",1
"Lophura erythrophthalma",1
"Lophura pyronota",0
"Lophura diardi",0
"Lophura rufa",0
"Lophura ignita",1
"Rheinardia ocellata",0
"Rheinardia nigrescens",0
"Argusianus argus",0
"Afropavo congensis",0
"Pavo cristatus",0
"Pavo muticus",0
"Tropicoperdix chloropus",0
"Galloperdix spadicea",0
"Galloperdix lunulata",0
"Galloperdix bicalcarata",0
"Polyplectron bicalcaratum",0
"Bambusicola fytchii",0
"Bambusicola sonorivox",0
"Gallus varius",0
"Gallus gallus",0
"Gallus sonneratii",0
"Gallus lafayettii",0
"Ortygornis sephaena",1
"Ortygornis pondicerianus",0
"Ortygornis gularis",1
"Francolinus pintadeanus",0
"Francolinus francolinus",0
"Francolinus pictus",0
"Campocolinus schlegelii",0
"Scleroptila streptophora",0
"Scleroptila levaillantii",1
"Scleroptila finschi",0
"Scleroptila psilolaema",0
"Scleroptila elgonensis",0
"Scleroptila afra",1
"Scleroptila gutturalis",0
"Scleroptila shelleyi",0
"Scleroptila whytei",0
"Tetraogallus tibetanus",1
"Tetraogallus altaicus",1
"Tetraogallus caucasicus",0
"Tetraogallus caspius",1
"Tetraogallus himalayensis",0
"Ammoperdix griseogularis",1
"Synoicus ypsilophorus",0
"Synoicus chinensis",0
"Synoicus adansonii",0
"Margaroperdix madagarensis",0
"Coturnix delegorguei",1
"Coturnix coromandelica",1
"Coturnix pectoralis",0
"Alectoris barbara",1
"Alectoris melanocephala",1
"Alectoris rufa",1
"Alectoris chukar",1
"Alectoris philbyi",1
"Perdicula asiatica",1
"Perdicula erythrorhyncha",0
"Perdicula manipurensis",1
"Ophrysia superciliosa",0
"Pternistis hartlaubi",0
"Pternistis nobilis",0
"Pternistis castaneicollis",0
"Pternistis erckelii",1
"Pternistis ochropectus",1
"Pternistis ahantensis",0
"Pternistis jacksoni",0
"Pternistis adspersus",1
"Pternistis natalensis",0
"Pternistis bicalcaratus",1
"Pternistis squamatus",0
"Pternistis icterorhynchus",0
"Pternistis clappertoni",1
"Pternistis harwoodi",0
"Pternistis swainsonii",1
"Pternistis leucoscepus",1
"Pternistis rufopictus",0
"Pternistis afer",0
"Eurostopodus mystacalis",1
"Lyncornis macrotis",0
"Chordeiles nacunda",0
"Chordeiles pusillus",0
"Chordeiles rupestris",1
"Chordeiles acutipennis",1
"Chordeiles minor",0
"Chordeiles gundlachii",1
"Lurocalis semitorquatus",0
"Lurocalis rufiventris",0
"Nyctiprogne leucopyga",1
"Nyctiprogne vielliardi",1
"Nyctipolus nigrescens",0
"Nyctipolus hirundinaceus",0
"Nyctidromus albicollis",0
"Nyctidromus anthonyi",0
"Setopagis parvula",0
"Setopagis whitelyi",0
"Eleothreptus anomalus",0
"Eleothreptus candicans",0
"Systellura longirostris",0
"Uropsalis segmentata",0
"Uropsalis lyra",0
"Hydropsalis cayennensis",0
"Hydropsalis maculicaudus",0
"Hydropsalis climacocerca",0
"Hydropsalis torquata",0
"Siphonorhis americana",0
"Nyctiphrynus rosenbergi",0
"Nyctiphrynus yucatanicus",0
"Phalaenoptilus nuttallii",0
"Antrostomus carolinensis",1
"Antrostomus rufus",0
"Antrostomus cubanensis",0
"Antrostomus ekmani",0
"Antrostomus salvini",0
"Antrostomus badius",0
"Antrostomus ridgwayi",0
"Antrostomus vociferus",1
"Antrostomus arizonae",0
"Antrostomus noctitherus",0
"Antrostomus saturatus",0
"Caprimulgus ruficollis",0
"Caprimulgus indicus",0
"Caprimulgus europaeus",0
"Caprimulgus aegyptius",1
"Caprimulgus mahrattensis",1
"Caprimulgus macrurus",0
"Caprimulgus madagascariensis",1
"Caprimulgus natalensis",0
"Caprimulgus affinis",1
"Caprimulgus longipennis",1
"Caprimulgus vexillarius",1
"Steatornis caripensis",0
"Nyctibius grandis",0
"Nyctibius jamaicensis",0
"Nyctibius griseus",0
"Nyctibius maculosus",0
"Batrachostomus moniliger",0
"Aegotheles crinifrons",0
"Hemiprocne coronata",0
"Hemiprocne longipennis",0
"Hemiprocne comata",0
"Hemiprocne mystacea",0
"Cypseloides cherriei",1
"Cypseloides cryptus",1
"Cypseloides fumigatus",0
"Cypseloides niger",0
"Cypseloides lemosi",1
"Cypseloides senex",0
"Streptoprocne phelpsi",1
"Streptoprocne rutila",1
"Streptoprocne zonaris",0
"Streptoprocne biscutata",1
"Streptoprocne semicollaris",0
"Hydrochous gigas",0
"Collocalia affinis",0
