"scientific_name","order","family","genus","species","colonial","social","pairs_and_family_groups","singly_and_pairs","solitary"
"Anseranas semipalmata","Anseriformes","Anseranatidae","Anseranas","semipalmata",1,0,0,0,0
"Dendrocygna viduata","Anseriformes","Anatidae","Dendrocygna","viduata",1,1,0,0,0
"Dendrocygna autumnalis","Anseriformes","Anatidae","Dendrocygna","autumnalis",0,1,0,0,0
"Dendrocygna guttata","Anseriformes","Anatidae","Dendrocygna","guttata",NA,NA,NA,NA,NA
"Dendrocygna arborea","Anseriformes","Anatidae","Dendrocygna","arborea",0,1,0,0,0
"Dendrocygna bicolor","Anseriformes","Anatidae","Dendrocygna","bicolor",0,1,0,1,0
"Dendrocygna eytoni","Anseriformes","Anatidae","Dendrocygna","eytoni",0,0,0,0,1
"Dendrocygna arcuata","Anseriformes","Anatidae","Dendrocygna","arcuata",0,0,0,1,0
"Dendrocygna javanica","Anseriformes","Anatidae","Dendrocygna","javanica",1,0,0,0,0
"Thalassornis leuconotus","Anseriformes","Anatidae","Thalassornis","leuconotus",0,0,1,0,0
"Cereopsis novaehollandiae","Anseriformes","Anatidae","Cereopsis","novaehollandiae",0,1,0,1,0
"Branta bernicla","Anseriformes","Anatidae","Branta","bernicla",1,0,0,0,0
"Branta ruficollis","Anseriformes","Anatidae","Branta","ruficollis",1,0,1,1,0
"Branta sandvicensis","Anseriformes","Anatidae","Branta","sandvicensis",0,0,0,1,0
"Branta canadensis","Anseriformes","Anatidae","Branta","canadensis",1,0,0,0,0
"Branta leucopsis","Anseriformes","Anatidae","Branta","leucopsis",1,0,0,0,0
"Branta hutchinsii","Anseriformes","Anatidae","Branta","hutchinsii",1,0,0,1,0
"Anser indicus","Anseriformes","Anatidae","Anser","indicus",1,0,0,0,0
"Anser canagicus","Anseriformes","Anatidae","Anser","canagicus",0,1,1,1,0
"Anser rossii","Anseriformes","Anatidae","Anser","rossii",1,0,0,0,0
"Anser caerulescens","Anseriformes","Anatidae","Anser","caerulescens",1,1,1,1,0
"Anser anser","Anseriformes","Anatidae","Anser","anser",1,0,0,0,0
"Anser cygnoides","Anseriformes","Anatidae","Anser","cygnoid",0,0,1,0,0
"Anser fabalis","Anseriformes","Anatidae","Anser","fabalis",0,0,1,0,0
"Anser brachyrhynchus","Anseriformes","Anatidae","Anser","brachyrhynchus",1,0,0,0,0
"Anser serrirostris","Anseriformes","Anatidae","Anser","serrirostris",NA,NA,NA,NA,NA
"Anser albifrons","Anseriformes","Anatidae","Anser","albifrons",0,0,1,0,0
"Anser erythropus","Anseriformes","Anatidae","Anser","erythropus",0,0,0,1,0
"Coscoroba coscoroba","Anseriformes","Anatidae","Coscoroba","coscoroba",1,1,1,1,0
"Cygnus atratus","Anseriformes","Anatidae","Cygnus","atratus",1,0,0,0,0
"Cygnus melancoryphus","Anseriformes","Anatidae","Cygnus","melancoryphus",0,1,1,0,0
"Cygnus olor","Anseriformes","Anatidae","Cygnus","olor",0,0,0,1,0
"Cygnus buccinator","Anseriformes","Anatidae","Cygnus","buccinator",0,1,1,1,0
"Cygnus columbianus","Anseriformes","Anatidae","Cygnus","columbianus",0,0,0,1,0
"Cygnus cygnus","Anseriformes","Anatidae","Cygnus","cygnus",0,1,1,0,0
"Stictonetta naevosa","Anseriformes","Anatidae","Stictonetta","naevosa",NA,NA,NA,NA,NA
"Hymenolaimus malacorhynchos","Anseriformes","Anatidae","Hymenolaimus","malacorhynchos",0,0,0,1,0
"Tachyeres patachonicus","Anseriformes","Anatidae","Tachyeres","patachonicus",0,0,0,1,0
"Tachyeres pteneres","Anseriformes","Anatidae","Tachyeres","pteneres",0,0,0,1,0
"Tachyeres brachypterus","Anseriformes","Anatidae","Tachyeres","brachypterus",0,0,0,1,0
"Tachyeres leucocephalus","Anseriformes","Anatidae","Tachyeres","leucocephalus",0,1,0,1,0
"Merganetta armata","Anseriformes","Anatidae","Merganetta","armata",0,0,0,1,0
"Plectropterus gambensis","Anseriformes","Anatidae","Plectropterus","gambensis",0,0,0,1,0
"Sarkidiornis sylvicola","Anseriformes","Anatidae","Sarkidiornis","sylvicola",0,1,0,0,0
"Sarkidiornis melanotos","Anseriformes","Anatidae","Sarkidiornis","melanotos",0,0,1,0,0
"Cyanochen cyanoptera","Anseriformes","Anatidae","Cyanochen","cyanoptera",0,0,0,1,0
"Alopochen aegyptiaca","Anseriformes","Anatidae","Alopochen","aegyptiaca",0,0,0,1,0
"Alopochen mauritiana","Anseriformes","Anatidae","Alopochen","mauritiana",NA,NA,NA,NA,NA
"Alopochen kervazoi","Anseriformes","Anatidae","Alopochen","kervazoi",NA,NA,NA,NA,NA
"Neochen jubata","Anseriformes","Anatidae","Neochen","jubata",0,0,1,0,0
"Chloephaga melanoptera","Anseriformes","Anatidae","Chloephaga","melanoptera",0,1,0,1,0
"Chloephaga picta","Anseriformes","Anatidae","Chloephaga","picta",0,1,0,1,0
"Chloephaga hybrida","Anseriformes","Anatidae","Chloephaga","hybrida",0,1,0,1,0
"Chloephaga poliocephala","Anseriformes","Anatidae","Chloephaga","poliocephala",0,1,0,1,0
"Chloephaga rubidiceps","Anseriformes","Anatidae","Chloephaga","rubidiceps",0,1,0,1,0
"Radjah radjah","Anseriformes","Anatidae","Radjah","radjah",0,0,1,1,0
"Tadorna tadorna","Anseriformes","Anatidae","Tadorna","tadorna",1,0,1,1,0
"Tadorna ferruginea","Anseriformes","Anatidae","Tadorna","ferruginea",0,1,1,1,0
"Tadorna cana","Anseriformes","Anatidae","Tadorna","cana",0,1,0,1,0
"Tadorna tadornoides","Anseriformes","Anatidae","Tadorna","tadornoides",0,0,0,1,0
"Tadorna variegata","Anseriformes","Anatidae","Tadorna","variegata",0,0,0,1,0
"Tadorna cristata","Anseriformes","Anatidae","Tadorna","cristata",0,0,1,0,0
"Malacorhynchus membranaceus","Anseriformes","Anatidae","Malacorhynchus","membranaceus",0,0,1,1,0
"Salvadorina waigiuensis","Anseriformes","Anatidae","Salvadorina","waigiuensis",0,0,0,1,0
"Cairina moschata","Anseriformes","Anatidae","Cairina","moschata",0,0,1,1,1
"Asarcornis scutulata","Anseriformes","Anatidae","Asarcornis","scutulata",0,0,0,1,0
"Pteronetta hartlaubii","Anseriformes","Anatidae","Pteronetta","hartlaubii",0,0,1,1,0
"Aix sponsa","Anseriformes","Anatidae","Aix","sponsa",0,0,0,1,0
"Aix galericulata","Anseriformes","Anatidae","Aix","galericulata",0,0,0,1,0
"Chenonetta jubata","Anseriformes","Anatidae","Chenonetta","jubata",0,0,0,1,0
NA,"Anseriformes",NA,"Chenonetta","finschi",NA,NA,NA,NA,NA
"Nettapus auritus","Anseriformes","Anatidae","Nettapus","auritus",NA,NA,NA,NA,NA
